Region;Nom_region
1;GUADELOUPE
2;MARTINIQUE
3;GUYANE
4;LA REUNION
6;MAYOTTE
7;SAINT-BARTHELEMY
8;SAINT-MARTIN
11;ILE-DE-FRANCE
21;CHAMPAGNE-ARDENNE
22;PICARDIE
23;HAUTE-NORMANDIE
24;CENTRE-VAL DE LOIRE
25;BASSE-NORMANDIE
26;BOURGOGNE
31;NORD-PAS-DE-CALAIS
41;LORRAINE
42;ALSACE
43;FRANCHE-COMTE
52;PAYS-DE-LA-LOIRE
53;BRETAGNE
54;POITOU-CHARENTES
72;AQUITAINE
73;MIDI-PYRENEES
74;LIMOUSIN
82;RHONE-ALPES
83;AUVERGNE
91;LANGUEDOC-ROUSSILLON
93;PROVENCE-ALPES-COTE-D'AZUR
94;CORSE
44;GRAND-EST
75;NOUVELLE-AQUITAINE
84;AUVERGNE-RHONE-ALPES
27;BOURGOGNE-FRANCHE-COMTE
76;OCCITANIE
32;HAUTS-DE-FRANCE
28;NORMANDIE
FRANCE;FRANCE
METROPOLE;METROPOLE
