code_reg;Nom_region;num_reg
1;GUADELOUPE;1
7;SAINT-BARTHELEMY;2
8;SAINT-MARTIN;3
2;MARTINIQUE;4
3;GUYANE;5
4;LA REUNION;6
6;MAYOTTE;7
11;ILE-DE-FRANCE;8
21;CHAMPAGNE-ARDENNE;9
22;PICARDIE;10
23;HAUTE-NORMANDIE;11
24;CENTRE-VAL DE LOIRE;12
25;BASSE-NORMANDIE;13
26;BOURGOGNE;14
31;NORD-PAS-DE-CALAIS;15
41;LORRAINE;16
42;ALSACE;17
43;FRANCHE-COMTE;18
52;PAYS-DE-LA-LOIRE;19
53;BRETAGNE;20
54;POITOU-CHARENTES;21
72;AQUITAINE;22
73;MIDI-PYRENEES;23
74;LIMOUSIN;24
82;RHONE-ALPES;25
83;AUVERGNE;26
91;LANGUEDOC-ROUSSILLON;27
93;PROVENCE-ALPES-COTE-D'AZUR;28
94;CORSE;29
